This file shows errors that happen in  <HumanDetectionSSD.HumanDetection object at 0x7fbd877a1640> Class
*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 736, 'Point_b_Y': 533, 'Confidence': 0.99912065, 'Label': 'Person 1: 99.91%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 736, 'Point_b_Y': 533, 'Confidence': 0.99912065, 'Label': 'Person 1: 99.91%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 736, 'Point_b_Y': 532, 'Confidence': 0.9991084, 'Label': 'Person 1: 99.91%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 736, 'Point_b_Y': 532, 'Confidence': 0.9991084, 'Label': 'Person 1: 99.91%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 739, 'Point_b_Y': 532, 'Confidence': 0.99936765, 'Label': 'Person 1: 99.94%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 222, 'Point_a_Y': 30, 'Point_b_X': 739, 'Point_b_Y': 532, 'Confidence': 0.99936765, 'Label': 'Person 1: 99.94%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 223, 'Point_a_Y': 31, 'Point_b_X': 741, 'Point_b_Y': 532, 'Confidence': 0.9993079, 'Label': 'Person 1: 99.93%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 223, 'Point_a_Y': 31, 'Point_b_X': 741, 'Point_b_Y': 532, 'Confidence': 0.9993079, 'Label': 'Person 1: 99.93%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 223, 'Point_a_Y': 31, 'Point_b_X': 741, 'Point_b_Y': 532, 'Confidence': 0.9994036, 'Label': 'Person 1: 99.94%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 223, 'Point_a_Y': 31, 'Point_b_X': 741, 'Point_b_Y': 532, 'Confidence': 0.9994036, 'Label': 'Person 1: 99.94%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 225, 'Point_a_Y': 29, 'Point_b_X': 739, 'Point_b_Y': 535, 'Confidence': 0.9992964, 'Label': 'Person 1: 99.93%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 225, 'Point_a_Y': 29, 'Point_b_X': 739, 'Point_b_Y': 535, 'Confidence': 0.9992964, 'Label': 'Person 1: 99.93%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 30, 'Point_b_X': 742, 'Point_b_Y': 535, 'Confidence': 0.99951935, 'Label': 'Person 1: 99.95%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 30, 'Point_b_X': 742, 'Point_b_Y': 535, 'Confidence': 0.99951935, 'Label': 'Person 1: 99.95%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 26, 'Point_b_X': 740, 'Point_b_Y': 537, 'Confidence': 0.9994198, 'Label': 'Person 1: 99.94%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 26, 'Point_b_X': 740, 'Point_b_Y': 537, 'Confidence': 0.9994198, 'Label': 'Person 1: 99.94%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 25, 'Point_b_X': 742, 'Point_b_Y': 537, 'Confidence': 0.9993057, 'Label': 'Person 1: 99.93%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 226, 'Point_a_Y': 25, 'Point_b_X': 742, 'Point_b_Y': 537, 'Confidence': 0.9993057, 'Label': 'Person 1: 99.93%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 228, 'Point_a_Y': 22, 'Point_b_X': 742, 'Point_b_Y': 538, 'Confidence': 0.99923956, 'Label': 'Person 1: 99.92%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 228, 'Point_a_Y': 22, 'Point_b_X': 742, 'Point_b_Y': 538, 'Confidence': 0.99923956, 'Label': 'Person 1: 99.92%'}} ,*********** i is: 0
dictionary is: {'i': 0, 'Point_a_X': 232, 'Point_a_Y': 23, 'Point_b_X': 743, 'Point_b_Y': 538, 'Confidence': 0.99894077, 'Label': 'Person 1: 99.89%'} ,Final dictionary is: {1: {'i': 0, 'Point_a_X': 232, 'Point_a_Y': 23, 'Point_b_X': 743, 'Point_b_Y': 538, 'Confidence': 0.99894077, 'Label': 'Person 1: 99.89%'}} ,*********** i is: 0
